Plate	Repeat	Barcode	Measured	height	Chamber	temperature	at	start	Chamber	temperature	at	end	Humidity	at	start	Humidity	at	end	Ambient	temperature	at	start	Ambient	temperature	at	end	Group	Label	ScanX	ScanY	Measinfo	Kinetics	Measurement	date
1	1	14.52	27.7	27.63	39.5	39.6	25.46	25.48	1	Tatjana	FRET(1)	0	0	De=1st	Ex=Btm	Em=Btm	Wdw=1	0	6/29/2018	11:19:40														
																																		
Background	information																																	
Plate	Label	Result	Signal	Flashes/Time	Meastime	MeasInfo																												
1	Tatjana	FRET	0	544	10	00:00:00.000	De=1st	Ex=Btm	Em=Btm	Wdw=1																								
1	Tatjana	FRET	0	554	10	00:00:00.000	De=2nd	Ex=Btm	Em=Btm	Wdw=1																								
																																		
Results	for	Tatjana	FRET(1)	-0	channel	1	window	1	(Counts)																									
	1	2	3	4	5	6	7	8	9	10	11	12																						
A	1067	1097	1080																															
B	1034	1085	1083																															
C	1021	1072	1147																															
D	1096	1059	1051																															
E	1161	1087	1061																															
F	1080	1015	1103																															
G	1132	1092	1061																															
H	1094	1052	1028																															
																																		
Plate	information																																	
Plate	Repeat	Barcode	Measured	height	Chamber	temperature	at	start	Chamber	temperature	at	end	Humidity	at	start	Humidity	at	end	Ambient	temperature	at	start	Ambient	temperature	at	end	Group	Label	ScanX	ScanY	Measinfo	Kinetics	Measurement	date
1	1	14.52	27.7	27.63	39.5	39.6	25.46	25.48	1	Tatjana	FRET(1)	0	0	De=2nd	Ex=Btm	Em=Btm	Wdw=1	0	6/29/2018	11:19:40														
																																		
Background	information																																	
Plate	Label	Result	Signal	Flashes/Time	Meastime	MeasInfo																												
1	Tatjana	FRET	0	544	10	00:00:00.000	De=1st	Ex=Btm	Em=Btm	Wdw=1																								
1	Tatjana	FRET	0	554	10	00:00:00.000	De=2nd	Ex=Btm	Em=Btm	Wdw=1																								
																																		
Results	for	Tatjana	FRET(1)	-0	channel	2	window	1	(Counts)																									
	1	2	3	4	5	6	7	8	9	10	11	12																						
A	15204	15125	14188																															
B	12824	16080	14373																															
C	13898	14422	15216																															
D	14949	14345	15733																															
E	16842	16244	14599																															
F	17854	17006	14658																															
G	13272	17371	13669																															
H	15393	14730	14319																															
																																		
Plate	information																																	
Plate	Repeat	Barcode	Measured	height	Chamber	temperature	at	start	Chamber	temperature	at	end	Humidity	at	start	Humidity	at	end	Ambient	temperature	at	start	Ambient	temperature	at	end	Group	Label	ScanX	ScanY	Measinfo	Kinetics	Measurement	date
1	2	14.52	27.63	27.63	39.6	39.6	25.48	25.58	1	Tatjana	FRET(1)	0	0	De=1st	Ex=Btm	Em=Btm	Wdw=1	0	6/29/2018	11:19:59														
																																		
Background	information																																	
Plate	Label	Result	Signal	Flashes/Time	Meastime	MeasInfo																												
