Plate information 																
Plate	Repeat	Barcode	Measured height	Chamber temperature at start	Chamber temperature at end	Humidity at start	Humidity at end	Ambient temperature at start	Ambient temperature at end	Group	Label	ScanX	ScanY	Measinfo	Kinetics	Measurement date
1	1		14.46	27.94	27.87	30.3	30.3	25.26	25.29	1	Tatjana FRET(1)	0	0	De=1st Ex=Btm Em=Btm Wdw=1	0	07.11.2018 14:44:19
																
Background information																
Plate	Label	Result	Signal	Flashes/Time	Meastime	MeasInfo										
1	Tatjana FRET	0	455	10	00:00:00.000	De=1st Ex=Btm Em=Btm Wdw=1										
1	Tatjana FRET	0	413	10	00:00:00.000	De=2nd Ex=Btm Em=Btm Wdw=1										
																
Results for Tatjana FRET(1) - channel 1 window 1 (Counts)																
	1	2	3	4	5	6	7	8	9	10	11	12				
A		1007	997	1037												
B		1051	1024	1032												
C		923	934	952												
D		934	1008	1056												
E		966	1009	964												
F		1015	1005	881												
G		1064	1049	987												
H		959	1028	1075												
																
Plate information 																
Plate	Repeat	Barcode	Measured height	Chamber temperature at start	Chamber temperature at end	Humidity at start	Humidity at end	Ambient temperature at start	Ambient temperature at end	Group	Label	ScanX	ScanY	Measinfo	Kinetics	Measurement date
1	1		14.46	27.94	27.87	30.3	30.3	25.26	25.29	1	Tatjana FRET(1)	0	0	De=2nd Ex=Btm Em=Btm Wdw=1	0	07.11.2018 14:44:19
																
Background information																
Plate	Label	Result	Signal	Flashes/Time	Meastime	MeasInfo										
1	Tatjana FRET	0	455	10	00:00:00.000	De=1st Ex=Btm Em=Btm Wdw=1										
1	Tatjana FRET	0	413	10	00:00:00.000	De=2nd Ex=Btm Em=Btm Wdw=1										
																
Results for Tatjana FRET(1) - channel 2 window 1 (Counts)																
	1	2	3	4	5	6	7	8	9	10	11	12				
A		13367	11692	12763												
B		14108	14470	12841												
C		13251	13870	13137												
D		15885	14716	14636												
E		14955	15400	13727												
F		15608	14624	13880												
G		15807	16367	14434												
H		16655	18072	16456												
																
Plate information 																
Plate	Repeat	Barcode	Measured height	Chamber temperature at start	Chamber temperature at end	Humidity at start	Humidity at end	Ambient temperature at start	Ambient temperature at end	Group	Label	ScanX	ScanY	Measinfo	Kinetics	Measurement date
1	2		14.46	27.87	27.87	30.3	30.3	25.29	25.38	1	Tatjana FRET(1)	0	0	De=1st Ex=Btm Em=Btm Wdw=1	0	07.11.2018 14:44:38
																
Background information																
Plate	Label	Result	Signal	Flashes/Time	Meastime	MeasInfo										
1	Tatjana FRET	0	455	10	00:00:00.000	De=1st Ex=Btm Em=Btm Wdw=1										
1	Tatjana FRET	0	413	10	00:00:00.000	De=2nd Ex=Btm Em=Btm Wdw=1										
																
Results for Tatjana FRET(1) - channel 1 window 1 (Counts)																
	1	2	3	4	5	6	7	8	9	10	11	12				
A		970	928	926												
B		968	1010	1018												
C		938	930	924												
D		934	910	936												
E		920	887	887												
F		914	876	899												
G		962	1035	1018												
H		1060	941	1005												
																
Plate information 																
